region	chr	midPos	Nsites
(23198,23697)(23200,23699)(23200,23700)	Mt	23450	501	0.098008
(23298,23797)(23300,23799)(23300,23800)	Mt	23550	501	0.100292
(23398,23897)(23400,23899)(23400,23900)	Mt	23650	501	0.095462
(23498,23997)(23500,23999)(23500,24000)	Mt	23750	501	0.105270
(23598,24097)(23600,24099)(23600,24100)	Mt	23850	501	0.113682
(23698,24197)(23700,24199)(23700,24200)	Mt	23950	501	0.112628
(23798,24297)(23800,24299)(23800,24300)	Mt	24050	501	0.111792
(23898,24397)(23900,24399)(23900,24400)	Mt	24150	501	0.112288
(23998,24497)(24000,24499)(24000,24500)	Mt	24250	501	0.102816
(24098,24597)(24100,24599)(24100,24600)	Mt	24350	501	0.098254
(24198,24697)(24200,24699)(24200,24700)	Mt	24450	501	0.097762
(24298,24797)(24300,24799)(24300,24800)	Mt	24550	501	0.097348
(24398,24897)(24400,24899)(24400,24900)	Mt	24650	501	0.102989
(24498,24997)(24500,24999)(24500,25000)	Mt	24750	501	0.107668
(24598,25097)(24600,25099)(24600,25100)	Mt	24850	501	0.115060
(24698,25197)(24700,25199)(24700,25200)	Mt	24950	501	0.108124
(24798,25297)(24800,25299)(24800,25300)	Mt	25050	501	0.104808
(24898,25397)(24900,25399)(24900,25400)	Mt	25150	501	0.096382
(24998,25497)(25000,25499)(25000,25500)	Mt	25250	501	0.097529
(25098,25597)(25100,25599)(25100,25600)	Mt	25350	501	0.088580
(25198,25697)(25200,25699)(25200,25700)	Mt	25450	501	0.085831
(25298,25797)(25300,25799)(25300,25800)	Mt	25550	501	0.087189
(25398,25897)(25400,25899)(25400,25900)	Mt	25650	501	0.092416
(25498,25997)(25500,25999)(25500,26000)	Mt	25750	501	0.101378
(25598,26097)(25600,26099)(25600,26100)	Mt	25850	501	0.112201
(25698,26197)(25700,26199)(25700,26200)	Mt	25950	501	0.124172
(25798,26297)(25800,26299)(25800,26300)	Mt	26050	501	0.131692
(25898,26397)(25900,26399)(25900,26400)	Mt	26150	501	0.130504
(25998,26497)(26000,26499)(26000,26500)	Mt	26250	501	0.121165
(26098,26597)(26100,26599)(26100,26600)	Mt	26350	501	0.114033
(26198,26697)(26200,26699)(26200,26700)	Mt	26450	501	0.110312
(26298,26797)(26300,26799)(26300,26800)	Mt	26550	501	0.104386
(26398,26897)(26400,26899)(26400,26900)	Mt	26650	501	0.099725
(26498,26997)(26500,26999)(26500,27000)	Mt	26750	501	0.101726
(26598,27097)(26600,27099)(26600,27100)	Mt	26850	501	0.096843
(26698,27197)(26700,27199)(26700,27200)	Mt	26950	501	0.098013
(26798,27297)(26800,27299)(26800,27300)	Mt	27050	501	0.103172
(26898,27397)(26900,27399)(26900,27400)	Mt	27150	501	0.103533
(26998,27497)(27000,27499)(27000,27500)	Mt	27250	501	0.105924
(27098,27597)(27100,27599)(27100,27600)	Mt	27350	501	0.112019
(27198,27697)(27200,27699)(27200,27700)	Mt	27450	501	0.118493
(27298,27797)(27300,27799)(27300,27800)	Mt	27550	501	0.117722
(27398,27897)(27400,27899)(27400,27900)	Mt	27650	501	0.123990
(27498,27997)(27500,27999)(27500,28000)	Mt	27750	501	0.123689
(27598,28097)(27600,28099)(27600,28100)	Mt	27850	501	0.120676
(27698,28197)(27700,28199)(27700,28200)	Mt	27950	501	0.108641
(27798,28297)(27800,28299)(27800,28300)	Mt	28050	501	0.103511
(27898,28397)(27900,28399)(27900,28400)	Mt	28150	501	0.108019
(27998,28497)(28000,28499)(28000,28500)	Mt	28250	501	0.110322
(28098,28597)(28100,28599)(28100,28600)	Mt	28350	501	0.112846
(28198,28697)(28200,28699)(28200,28700)	Mt	28450	501	0.116449
(28298,28797)(28300,28799)(28300,28800)	Mt	28550	501	0.121907
(28398,28897)(28400,28899)(28400,28900)	Mt	28650	501	0.122089
(28498,28997)(28500,28999)(28500,29000)	Mt	28750	501	0.116618
(28598,29097)(28600,29099)(28600,29100)	Mt	28850	501	0.105350
(28698,29197)(28700,29199)(28700,29200)	Mt	28950	501	0.105413
(28798,29297)(28800,29299)(28800,29300)	Mt	29050	501	0.102518
(28898,29397)(28900,29399)(28900,29400)	Mt	29150	501	0.101826
(28998,29497)(29000,29499)(29000,29500)	Mt	29250	501	0.106101
(29098,29597)(29100,29599)(29100,29600)	Mt	29350	501	0.105121
(29198,29697)(29200,29699)(29200,29700)	Mt	29450	501	0.103711
(29298,29797)(29300,29799)(29300,29800)	Mt	29550	501	0.102212
(29398,29897)(29400,29899)(29400,29900)	Mt	29650	501	0.095865
(29498,29997)(29500,29999)(29500,30000)	Mt	29750	501	0.095738
(29598,30097)(29600,30099)(29600,30100)	Mt	29850	501	0.102238
(29698,30197)(29700,30199)(29700,30200)	Mt	29950	501	0.105119
(29798,30297)(29800,30299)(29800,30300)	Mt	30050	501	0.106550
(29898,30397)(29900,30399)(29900,30400)	Mt	30150	501	0.104222
(29998,30497)(30000,30499)(30000,30500)	Mt	30250	501	0.101572
(30098,30597)(30100,30599)(30100,30600)	Mt	30350	501	0.095477
(30198,30697)(30200,30699)(30200,30700)	Mt	30450	501	0.090804
(30298,30797)(30300,30799)(30300,30800)	Mt	30550	501	0.089858
(30398,30897)(30400,30899)(30400,30900)	Mt	30650	501	0.095656
(30498,30997)(30500,30999)(30500,31000)	Mt	30750	501	0.098099
(30598,31097)(30600,31099)(30600,31100)	Mt	30850	501	0.108339
(30698,31197)(30700,31199)(30700,31200)	Mt	30950	501	0.113366
(30798,31297)(30800,31299)(30800,31300)	Mt	31050	501	0.114674
(30898,31397)(30900,31399)(30900,31400)	Mt	31150	501	0.108238
(30998,31497)(31000,31499)(31000,31500)	Mt	31250	501	0.102696
(31098,31597)(31100,31599)(31100,31600)	Mt	31350	501	0.097951
(31198,31697)(31200,31699)(31200,31700)	Mt	31450	501	0.111064
(31298,31797)(31300,31799)(31300,31800)	Mt	31550	501	0.112968
(31398,31897)(31400,31899)(31400,31900)	Mt	31650	501	0.119141
(31498,31997)(31500,31999)(31500,32000)	Mt	31750	501	0.118476
(31598,32097)(31600,32099)(31600,32100)	Mt	31850	501	0.121001
(31698,32197)(31700,32199)(31700,32200)	Mt	31950	501	0.110649
(31798,32297)(31800,32299)(31800,32300)	Mt	32050	501	0.106863
(31898,32397)(31900,32399)(31900,32400)	Mt	32150	501	0.101373
(31998,32497)(32000,32499)(32000,32500)	Mt	32250	501	0.108242
(32098,32597)(32100,32599)(32100,32600)	Mt	32350	501	0.111824
(32198,32697)(32200,32699)(32200,32700)	Mt	32450	501	0.107768
(32298,32797)(32300,32799)(32300,32800)	Mt	32550	501	0.114687
(32398,32897)(32400,32899)(32400,32900)	Mt	32650	501	0.117073
(32498,32997)(32500,32999)(32500,33000)	Mt	32750	501	0.117690
(32598,33097)(32600,33099)(32600,33100)	Mt	32850	501	0.109649
(32698,33197)(32700,33199)(32700,33200)	Mt	32950	501	0.110257
(32798,33297)(32800,33299)(32800,33300)	Mt	33050	501	0.112887
(32898,33397)(32900,33399)(32900,33400)	Mt	33150	501	0.115054
(32998,33497)(33000,33499)(33000,33500)	Mt	33250	501	0.114977
(33098,33597)(33100,33599)(33100,33600)	Mt	33350	501	0.112417
(33198,33697)(33200,33699)(33200,33700)	Mt	33450	501	0.105062
(33298,33797)(33300,33799)(33300,33800)	Mt	33550	501	0.099263
(33398,33897)(33400,33899)(33400,33900)	Mt	33650	501	0.095168
(33498,33997)(33500,33999)(33500,34000)	Mt	33750	501	0.084196
(33598,34097)(33600,34099)(33600,34100)	Mt	33850	501	0.089107
(33698,34197)(33700,34199)(33700,34200)	Mt	33950	501	0.094502
(33798,34297)(33800,34299)(33800,34300)	Mt	34050	501	0.094434
(33898,34397)(33900,34399)(33900,34400)	Mt	34150	501	0.095233
(33998,34497)(34000,34499)(34000,34500)	Mt	34250	501	0.096261
(34098,34597)(34100,34599)(34100,34600)	Mt	34350	501	0.096098
(34198,34697)(34200,34699)(34200,34700)	Mt	34450	501	0.092453
(34298,34797)(34300,34799)(34300,34800)	Mt	34550	501	0.090694
(34398,34897)(34400,34899)(34400,34900)	Mt	34650	501	0.087996
(34498,34997)(34500,34999)(34500,35000)	Mt	34750	501	0.095703
(34598,35097)(34600,35099)(34600,35100)	Mt	34850	501	0.095056
(34698,35197)(34700,35199)(34700,35200)	Mt	34950	501	0.108665
(34798,35297)(34800,35299)(34800,35300)	Mt	35050	501	0.105992
(34898,35397)(34900,35399)(34900,35400)	Mt	35150	501	0.107522
(34998,35497)(35000,35499)(35000,35500)	Mt	35250	501	0.102892
(35098,35597)(35100,35599)(35100,35600)	Mt	35350	501	0.102361
(35198,35697)(35200,35699)(35200,35700)	Mt	35450	501	0.091343
(35298,35797)(35300,35799)(35300,35800)	Mt	35550	501	0.098984
(35398,35897)(35400,35899)(35400,35900)	Mt	35650	501	0.101183
(35498,35997)(35500,35999)(35500,36000)	Mt	35750	501	0.108200
(35598,36097)(35600,36099)(35600,36100)	Mt	35850	501	0.106658
(35698,36197)(35700,36199)(35700,36200)	Mt	35950	501	0.112825
(35798,36297)(35800,36299)(35800,36300)	Mt	36050	501	0.114400
(35898,36397)(35900,36399)(35900,36400)	Mt	36150	501	0.113703
(35998,36497)(36000,36499)(36000,36500)	Mt	36250	501	0.107753
(36098,36597)(36100,36599)(36100,36600)	Mt	36350	501	0.106514
(36198,36697)(36200,36699)(36200,36700)	Mt	36450	501	0.102834
(36298,36797)(36300,36799)(36300,36800)	Mt	36550	501	0.093285
(36398,36897)(36400,36899)(36400,36900)	Mt	36650	501	0.100881
(36498,36997)(36500,36999)(36500,37000)	Mt	36750	501	0.094091
(36598,37097)(36600,37099)(36600,37100)	Mt	36850	501	0.092650
(36698,37197)(36700,37199)(36700,37200)	Mt	36950	501	0.092664
(36798,37297)(36800,37299)(36800,37300)	Mt	37050	501	0.092728
(36898,37397)(36900,37399)(36900,37400)	Mt	37150	501	0.088303
(36998,37497)(37000,37499)(37000,37500)	Mt	37250	501	0.092489
(37098,37597)(37100,37599)(37100,37600)	Mt	37350	501	0.099148
(37198,37697)(37200,37699)(37200,37700)	Mt	37450	501	0.094649
(37298,37797)(37300,37799)(37300,37800)	Mt	37550	501	0.093212
(37398,37897)(37400,37899)(37400,37900)	Mt	37650	501	0.094672
(37498,37997)(37500,37999)(37500,38000)	Mt	37750	501	0.095418
(37598,38097)(37600,38099)(37600,38100)	Mt	37850	501	0.091667
(37698,38197)(37700,38199)(37700,38200)	Mt	37950	501	0.100134
(37798,38297)(37800,38299)(37800,38300)	Mt	38050	501	0.102435
(37898,38397)(37900,38399)(37900,38400)	Mt	38150	501	0.097883
(37998,38497)(38000,38499)(38000,38500)	Mt	38250	501	0.093921
(38098,38597)(38100,38599)(38100,38600)	Mt	38350	501	0.097467
(38198,38697)(38200,38699)(38200,38700)	Mt	38450	501	0.097362
(38298,38797)(38300,38799)(38300,38800)	Mt	38550	501	0.103668
(38398,38897)(38400,38899)(38400,38900)	Mt	38650	501	0.104721
(38498,38997)(38500,38999)(38500,39000)	Mt	38750	501	0.108606
(38598,39097)(38600,39099)(38600,39100)	Mt	38850	501	0.111598
(38698,39197)(38700,39199)(38700,39200)	Mt	38950	501	0.108444
(38798,39297)(38800,39299)(38800,39300)	Mt	39050	501	0.106211
(38898,39397)(38900,39399)(38900,39400)	Mt	39150	501	0.101386
